EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111450) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2759,111450,20160722,  305,    0
  2759,111450,20160723,  285,    0
  2759,111450,20160724,  288,    0
  2759,111450,20160725,  315,    0
  2759,111450,20160726,  289,    0
  2759,111450,20160727,  259,    0
  2759,111450,20160728,  255,    0
  2759,111450,20160729,  259,    0
  2759,111450,20160730,  256,    0
  2759,111450,20160731,  262,    0
  2759,111450,20160801,  228,    0
  2759,111450,20160802,  184,    0
  2759,111450,20160803,  229,    0
  2759,111450,20160804,  236,    0
  2759,111450,20160805,  224,    0
  2759,111450,20160806,  226,    0
  2759,111450,20160807,  250,    0
  2759,111450,20160808,  286,    0
  2759,111450,20160809,  218,    0
  2759,111450,20160810,  179,    0
  2759,111450,20160811,  198,    0
  2759,111450,20160812,  194,    0
  2759,111450,20160813,  279,    0
  2759,111450,20160814,  220,    0
  2759,111450,20160815,  214,    0
  2759,111450,20160816,  222,    0
  2759,111450,20160817,  222,    0
  2759,111450,20160818,  201,    0
  2759,111450,20160819,  264,    0
  2759,111450,20160820,  263,    0
  2759,111450,20160821,  230,    0
  2759,111450,20160822,  245,    0
  2759,111450,20160823,  239,    0
  2759,111450,20160824,  277,    0
  2759,111450,20160825,  294,    0
  2759,111450,20160826,  341,    0
  2759,111450,20160827,  316,    0
  2759,111450,20160828,  349,    0
  2759,111450,20160829,  245,    0
  2759,111450,20160830,  229,    0
  2759,111450,20160831,  261,    0
  2759,111450,20160901,  272,    0
  2759,111450,20160902,  259,    0
  2759,111450,20160903,  266,    0
  2759,111450,20160904,  228,    0
  2759,111450,20160905,  219,    0
  2759,111450,20160906,  226,    0
  2759,111450,20160907,  263,    0
  2759,111450,20160908,  300,    0
  2759,111450,20160909,  275,    0
  2759,111450,20160910,  274,    0
  2759,111450,20160911,  303,    0
  2759,111450,20160912,  320,    0
  2759,111450,20160913,  314,    0
  2759,111450,20160914,  291,    0
  2759,111450,20160915,  264,    0
  2759,111450,20160916,  281,    0
  2759,111450,20160917,  217,    0
  2759,111450,20160918,  210,    0
  2759,111450,20160919,  201,    0
  2759,111450,20160920,  190,    0
  2759,111450,20160921,  201,    0
  2759,111450,20160922,  205,    0
  2759,111450,20160923,  230,    0
  2759,111450,20160924,  211,    0
  2759,111450,20160925,  228,    0
  2759,111450,20160926,  219,    0
  2759,111450,20160927,  224,    0
  2759,111450,20160928,  211,    0
  2759,111450,20160929,  258,    0
  2759,111450,20160930,  205,    0
  2759,111450,20161001,  151,    0
  2759,111450,20161002,  184,    0
  2759,111450,20161003,  178,    0
  2759,111450,20161004,  168,    0
  2759,111450,20161005,  129,    0
  2759,111450,20161006,  114,    0
  2759,111450,20161007,  124,    0
  2759,111450,20161008,  126,    0
  2759,111450,20161009,  112,    0
  2759,111450,20161010,  117,    0
  2759,111450,20161011,   97,    0
  2759,111450,20161012,   81,    0
  2759,111450,20161013,   76,    0
  2759,111450,20161014,  123,    0
  2759,111450,20161015,  103,    0
  2759,111450,20161016,  104,    0
  2759,111450,20161017,   84,    0
  2759,111450,20161018,  118,    0
  2759,111450,20161019,  118,    0
  2759,111450,20161020,   98,    0
  2759,111450,20161021,   92,    0
  2759,111450,20161022,   98,    0
  2759,111450,20161023,   92,    0
  2759,111450,20161024,   94,    0
  2759,111450,20161025,  102,    0
  2759,111450,20161026,   86,    0
  2759,111450,20161027,  116,    0
  2759,111450,20161028,  131,    0
  2759,111450,20161029,  122,    0
  2759,111450,20161030,  117,    0
  2759,111450,20161031,  112,    0
  2759,111450,20161101,  114,    0
  2759,111450,20161102,   89,    0
  2759,111450,20161103,   68,    0
  2759,111450,20161104,   79,    0
  2759,111450,20161105,   98,    0
  2759,111450,20161106,   85,    0
  2759,111450,20161107,   56,    0
  2759,111450,20161108,   57,    0
  2759,111450,20161109,   44,    0
  2759,111450,20161110,   36,    0
  2759,111450,20161111,   29,    0
  2759,111450,20161112,   26,    0
  2759,111450,20161113,   42,    0
  2759,111450,20161114,   51,    0
  2759,111450,20161115,   75,    0
  2759,111450,20161116,   92,    0
  2759,111450,20161117,  111,    0
  2759,111450,20161118,  144,    0
  2759,111450,20161119,   83,    0
  2759,111450,20161120,  109,    0
  2759,111450,20161121,  131,    0
  2759,111450,20161122,  119,    0
  2759,111450,20161123,  120,    0
  2759,111450,20161124,   79,    0
  2759,111450,20161125,   35,    0
  2759,111450,20161126,   34,    0
  2759,111450,20161127,   71,    0
  2759,111450,20161128,   32,    0
